CPU Name,Cores,CPU Mark,Thread Mark,TDP (W),Socket,Category
AMD A6 PRO-7050B APU,2,971,844,17,FP3,Laptop
AMD A6 PRO-7400B,1,"1,640","1,494",65,FM2+,Desktop
AMD A6-1450 APU,4,"1,062",442,8,FT3,Laptop
AMD A6-3400M APU,4,"1,230",703,35,FS1,Laptop
AMD A6-3410MX APU,4,"1,274",734,45,FS1,Laptop
AMD A6-3420M APU,4,"1,310",778,35,FS1,Laptop
AMD A6-3430MX APU,4,"1,389",776,45,FS1,Laptop
AMD A6-3500 APU,3,"1,439",964,65,FM1,Desktop
AMD A6-3600 APU,4,"1,750",915,65,FM1,Desktop
AMD A6-3620 APU,4,"1,877",984,65,FM1,Desktop
AMD A6-3650 APU,4,"2,098","1,049",100,FM1,Desktop
AMD A6-3670 APU,4,"2,216","1,145",100,FM1,Desktop
AMD A6-4400M APU,1,996,"1,016",35,FS1r2,Laptop
AMD A6-4455M APU,1,811,798,17,FP2,Laptop
AMD A6-5200 APU,4,"1,659",661,25,FT3,Laptop
AMD A6-5345M APU,2,"1,122","1,094",17,FP2,Laptop
AMD A6-5350M APU,2,"1,207","1,202",35,FS1r2,Laptop
AMD A6-5357M APU,2,"1,219","1,242",35,FP2,Laptop
AMD A6-5400B APU,1,"1,465","1,395",65,FM2,Desktop
AMD A6-5400K APU,1,"1,282","1,271",65,FM2,Desktop
AMD A6-6310 APU,4,"1,671",735,15,FT3,Laptop
AMD A6-6400B APU,1,"1,573","1,597",65,FM2,Desktop
AMD A6-6400K APU,1,"1,511","1,446",65,FM2,Desktop
AMD A6-6420B APU,1,"1,550","1,629",65,FM2,Desktop
AMD A6-6420K APU,2,"1,582","1,553",65,FM2,Desktop
AMD A6-7000,2,"1,002",840,17,FP3,Laptop
AMD A6-7310 APU,4,"1,750",772,25,Unknown,Laptop
AMD A6-7400K APU,2,"1,679","1,453",65,FM2+,Desktop
AMD A6-7470K,1,"1,799","1,576",65,FM2+,Desktop
AMD A6-7480,2,"1,793","1,532",65,FM2+,Desktop
AMD A6-8500P,2,"1,445","1,253",15,BGA (FP4),Laptop
AMD A6-8550,2,"1,762","1,546",65,FM2+,Desktop
AMD A6-9200,2,"1,149",980,10,BGA,Laptop
AMD A6-9210,2,"1,254","1,105",15,FP4,Laptop
AMD A6-9220,2,"1,316","1,151",15,Unknown,Laptop
AMD A6-9220C,2,"1,053",995,6,FT4,Laptop
AMD A6-9220e,2,960,854,NA,Unknown,Laptop
AMD A6-9225,2,"1,335","1,157",15,BGA (FT4),Laptop
AMD A6-9230,2,"1,303","1,124",15,Unknown,Desktop
AMD A6-9400,2,"2,717","1,664",10,FT4,Laptop
AMD A6-9500,2,"1,876","1,617",65,AM4,Desktop
AMD A6-9500E,2,"1,741","1,387",35,AM4,Desktop
AMD A8 PRO-7150B APU,4,"1,541",758,19,FP3,Laptop
AMD A8 PRO-7600B APU,4,"3,023","1,414",65,FM2+,Desktop
AMD A8-3500M APU,4,"1,391",800,35,FS1,Laptop
AMD A8-3510MX APU,4,"1,631",898,45,FS1,Laptop
AMD A8-3520M APU,4,"1,437",844,35,FS1,Laptop
AMD A8-3530MX APU,4,"1,608",938,45,FS1,Laptop
AMD A8-3550MX APU,4,"1,687",962,45,FS1,Laptop
AMD A8-3800 APU,4,"2,051","1,042",65,FM1,Desktop
AMD A8-3820 APU,4,"2,180","1,128",65,FM1,Desktop
AMD A8-3850 APU,4,"2,421","1,223",100,FM1,Desktop
AMD A8-3870K APU,4,"2,365","1,220",100,FM1,Desktop
AMD A8-4500M APU,2,"1,694",917,35,FS1r2,Laptop
AMD A8-4555M APU,2,"1,341",781,19,FP2,Laptop
AMD A8-5500 APU,2,"2,611","1,339",65,FM2,Desktop
AMD A8-5500B APU,2,"2,615","1,340",65,FM2,Desktop
AMD A8-5545M APU,4,"1,628",866,19,FP2,Laptop
AMD A8-5550M APU,4,"1,821","1,007",35,FS1r2,Laptop
AMD A8-5557M APU,4,"1,831","1,069",35,FP2,Laptop
AMD A8-5600K APU,4,"2,863","1,431",100,FM2,Desktop
AMD A8-6410 APU,4,"1,769",782,15,BGA769 (FT3b),Laptop
AMD A8-6500 APU,2,"2,554","1,346",65,FM2,Desktop
AMD A8-6500B APU,2,"2,409","1,294",65,FM2,Desktop
AMD A8-6500T APU,2,"1,983","1,139",45,FM2,Desktop
AMD A8-6600K APU,2,"3,008","1,529",100,FM2,Desktop
AMD A8-7050,2,"1,062",877,15,Unknown,Laptop
AMD A8-7100 APU,4,"1,654",835,19,FP3,Laptop
AMD A8-7200P,4,"2,158","1,039",35,FP3,Laptop
AMD A8-7410 APU,4,"1,814",795,25,Unknown,Laptop
AMD A8-7500,2,"3,302","1,406",65,FM2+,Desktop
AMD A8-7600 APU,2,"3,212","1,440",65,FM2+,Desktop
AMD A8-7650K,2,"3,112","1,393",65,FM2+,Desktop
AMD A8-7670K,4,"3,267","1,500",95,FM2+,Desktop
AMD A8-7680,4,"3,526","1,601",45,FM2+,Laptop
AMD A8-7690K,4,"2,157","1,441",95,FM2+,Desktop
AMD A8-8600P,2,"2,464","1,189",15,FP4,Laptop
AMD A8-8650,4,"3,103","1,508",65,FM2+,Desktop
AMD A8-9600,4,"3,282","1,479",65,AM4,Desktop
AMD A9-9400,2,"1,287","1,163",10,FP4,Laptop
AMD A9-9410,2,"1,543","1,344",25,FP4,Laptop
AMD A9-9420,2,"1,536","1,329",15,Unknown,Laptop
AMD A9-9420e,2,"1,093",941,NA,Unknown,Laptop
AMD A9-9425,2,"1,520","1,324",15,BGA (FT4),Laptop
AMD A9-9430,2,"1,707","1,459",NA,Unknown,Desktop
AMD A9-9820,8,"3,958",798,NA,Unknown,Desktop
AMD Athlon 1500+,1,191,275,NA,Unknown,Desktop
AMD Athlon 1640B,1,376,574,45,AM2,Desktop
AMD Athlon 200GE,2,"4,106","1,795",35,AM4,Desktop
AMD Athlon 220GE,2,"4,444","1,961",35,AM4,Laptop
AMD Athlon 240GE,2,"4,561","1,965",35,AM4,Desktop
AMD Athlon 2650e,1,274,304,15,AM2,Desktop
AMD Athlon 2800+,1,291,439,89,754,Desktop
AMD Athlon 2850e,1,333,337,22,AM2,Desktop
AMD Athlon 3000G,2,"4,444","1,953",35,AM4,Desktop
AMD Athlon 300GE,2,"4,269","1,879",35,AM4,Desktop
AMD Athlon 300U,2,"3,830","1,746",15,FP5,Laptop
AMD Athlon 320GE,2,"4,411","1,921",35,AM4,Desktop
AMD Athlon 5000 Dual-Core,2,872,898,65,"AM2,AM2+",Desktop
AMD Athlon 5150 APU,4,"1,412",545,25,"AM1,FS1b",Desktop
AMD Athlon 5200 Dual-Core,2,869,915,75,AM2,Desktop
AMD Athlon 5350 APU,4,"1,797",697,25,"AM1,FS1B",Desktop
AMD Athlon 5370 APU,4,"1,906",745,25,"AM1,FS1B",Desktop
AMD Athlon 64 2000+,1,154,173,8,Unknown,Desktop
AMD Athlon 64 2600+,1,243,292,15,Unknown,Desktop
AMD Athlon 64 2800+,1,295,375,89,754,Desktop
AMD Athlon 64 3000+,1,342,623,89,Socket 754,Desktop
AMD Athlon 64 3100+,1,484,600,89,754,Desktop
AMD Athlon 64 3200+,1,305,621,62,AM2,Desktop
AMD Athlon 64 3300+,1,375,477,NA,Unknown,Desktop
AMD Athlon 64 3400+,1,317,547,89,754,Desktop
